cpf;numero_beneficio;codigo_especie;codigo_situacao;data_inicio
114496161;4,70383E+11;46;ATV;19/04/2014
198986734;2,18116E+11;81;ATV;16/08/2020
289065518;8,30549E+11;32;ATV;20/12/2009
628987102;8,09998E+11;31;REV;29/07/2023
635887576;8,88242E+11;46;REV;25/10/2016
667656332;6,98383E+11;42;ATV;25/03/2014
819822671;3,13512E+11;31;ATV;19/02/2010
874899702;9,60563E+11;46;ATV;06/08/2013
1027358322;8,90739E+11;81;ATV;11/08/2023
1045722480;2,61934E+11;31;CES;09/07/2020
1177907887;2,62039E+11;42;ATV;01/02/2015
1277496919;1,19459E+11;46;ATV;12/06/2009
1329539788;1,71278E+11;42;SUS;10/09/2008
1339359650;1,78081E+11;81;ATV;11/06/2025
1487390912;9,62395E+11;46;ATV;22/06/2007
1525712721;5,393E+11;46;ATV;31/07/2015
1567073816;6,67514E+11;88;REV;24/09/2008
1686259034;5,75547E+11;88;SUS;01/10/2012
2067626825;6,71443E+11;81;ATV;04/07/2015
2076151109;2,18833E+11;42;ATV;22/10/2009
2247866280;9,89031E+11;46;ATV;21/07/2011
2342958803;8,7092E+11;42;ATV;16/02/2005
2376234638;8,31211E+11;42;ATV;28/02/2024
2561294790;6,85992E+11;46;ATV;26/01/2017
2630639177;3,53377E+11;81;ATV;08/03/2012
2642306801;1,42704E+11;80;ATV;29/07/2021
2873834587;7,12272E+11;42;ATV;01/03/2011
2956897659;6,35283E+11;32;ATV;16/03/2010
3014538370;4,26122E+11;31;ATV;19/08/2020
3017728358;5,76749E+11;80;ATV;04/05/2012
3126841856;2,80152E+11;81;ATV;16/01/2024
3210044937;1,64213E+11;81;ATV;03/04/2024
3216863905;7,9755E+11;42;ATV;07/02/2021
3233772033;8,0899E+11;42;ATV;17/08/2016
3372909380;4,95917E+11;88;ATV;28/09/2022
3430781043;4,34712E+11;31;ATV;22/07/2019
3518636480;4,6411E+11;88;SUS;19/05/2019
3883267430;7,90311E+11;87;ATV;07/04/2007
4150386854;4,43382E+11;88;ATV;18/02/2019
4481821140;4,76577E+11;81;SUS;01/10/2015
4529634000;9,07394E+11;81;ATV;05/12/2014
4558793111;2,66542E+11;87;REV;20/12/2006
4576527800;5,72136E+11;46;ATV;12/01/2005
4774280372;3,1792E+11;88;ATV;07/12/2014
4992064361;1,34038E+11;87;SUS;17/04/2014
5109647534;1,77221E+11;32;SUS;24/02/2009
5396195908;6,16227E+11;81;ATV;30/03/2018
