cpf,tipo_inscricao,numero_inscricao,data_admissao,data_encerramento,cbo_codigo,competencia,pendencias
10433218196,CNPJ,01338908386379,2016-03-28,,142205,2024-06,"[""cbo_invalido"", ""dados_incompletos""]"
35116155940,CAEPF,78161849593103,2016-06-28,,261105,2024-08,"[""cbo_invalido"", ""competencia_ausente""]"
52553419283,CNPJ,76483503056413,2022-09-21,,411005,2024-08,"[""data_inconsistente"", ""competencia_ausente""]"
24238849696,CEI,32871012269166,2023-05-14,,142105,2024-09,"[""data_inconsistente""]"
18451462704,CAEPF,28148932528809,2017-04-09,,142305,2025-01,"[""dados_incompletos"", ""ausencia_vinculo""]"
39117182278,CNPJ,48963834657871,2015-07-24,2017-10-24,142205,2025-08,"[""dados_incompletos"", ""ausencia_vinculo"", ""inscricao_invalida""]"
03105183473,CAEPF,29973763116566,2020-06-22,,142205,2024-04,[]
51333872624,CEI,31781080132677,2014-10-18,,354805,2024-03,[]
06474687234,CNPJ,09805009788208,2011-10-19,,142305,2025-09,[]
36193990916,CAEPF,99854353462475,2011-08-18,2015-05-18,142410,2024-04,[]
38425135427,CAEPF,49808412411824,2016-04-27,,214505,2024-12,[]
48740164005,CNPJ,42786801128059,2022-05-24,2023-07-24,142205,2024-11,"[""cbo_invalido""]"
33158692322,CEI,02563421607337,2017-11-04,,241205,2024-08,[]
36541458685,CNPJ,14294019655698,2012-08-05,,142410,2024-07,"[""competencia_ausente"", ""ausencia_vinculo"", ""dados_incompletos""]"
56159514846,CEI,64823662994680,2016-10-25,2019-07-25,241205,2025-08,"[""competencia_ausente"", ""data_inconsistente""]"
73872148951,CNPJ,43320037917693,2018-08-12,,252210,2024-05,"[""ausencia_vinculo""]"
63287083172,CEI,88957986872774,2015-07-19,,354120,2025-06,"[""cbo_invalido""]"
71434558122,CNPJ,62316658760366,2023-02-06,,142205,2025-08,"[""cbo_invalido""]"
46688937346,CEI,06562729806990,2011-11-19,,252505,2025-04,[]
46537556464,CNPJ,70805310033092,2015-05-09,2019-05-09,142305,2025-07,"[""data_inconsistente"", ""cbo_invalido""]"
52991241904,CAEPF,66319314919058,2019-08-11,,142305,2025-06,"[""competencia_ausente""]"
71657262849,CAEPF,77694531473799,2018-07-02,,422105,2024-11,[]
35454948083,CNPJ,36783777014363,2016-11-13,,411005,2025-04,"[""competencia_ausente"", ""inscricao_invalida""]"
55744431351,CAEPF,82337498941343,2018-02-04,2018-08-04,214505,2025-06,[]
00842710947,CEI,75204711671902,2013-05-07,,354120,2024-03,"[""inscricao_invalida""]"
69993867749,CEI,49909133412328,2011-09-07,2014-05-07,422105,2025-08,"[""dados_incompletos""]"
44713493618,CNPJ,24210249947174,2019-01-11,,142105,2025-07,"[""inscricao_invalida""]"
06594013990,CAEPF,49027874296717,2017-10-21,,411005,2024-04,"[""competencia_ausente"", ""data_inconsistente""]"
46807154516,CAEPF,08760385977034,2022-04-27,2024-04-27,422105,2025-05,[]
93248086131,CEI,12748467737826,2014-04-11,,142105,2024-05,"[""competencia_ausente"", ""cbo_invalido""]"
84044997278,CEI,55886753396360,2017-02-19,,214505,2025-01,"[""data_inconsistente"", ""dados_incompletos"", ""competencia_ausente""]"
02895171870,CAEPF,26217459615865,2020-12-11,,142205,2025-09,[]
43161172400,CEI,04556238692221,2023-09-02,,142410,2024-09,"[""dados_incompletos"", ""data_inconsistente"", ""competencia_ausente""]"
47407482175,CAEPF,46474367136959,2016-08-20,,354120,2024-01,"[""competencia_ausente"", ""cbo_invalido"", ""ausencia_vinculo""]"
90974395339,CEI,21047095214562,2014-07-03,2017-11-03,354805,2025-01,"[""dados_incompletos"", ""cbo_invalido""]"
74517123685,CNPJ,60481754965137,2010-07-25,,142105,2024-12,"[""data_inconsistente""]"
17461200471,CNPJ,38267586926179,2019-02-26,,354120,2024-02,"[""competencia_ausente""]"
73515850643,CNPJ,71390053293183,2023-02-25,2024-10-25,411005,2024-05,"[""ausencia_vinculo"", ""cbo_invalido"", ""dados_incompletos""]"
28421020539,CEI,02402681177589,2012-06-12,,252210,2025-09,[]
84700766177,CNPJ,15921249985698,2016-08-12,,142410,2025-03,[]
18367365766,CAEPF,15654527111161,2018-05-11,,142105,2024-03,"[""inscricao_invalida"", ""cbo_invalido"", ""ausencia_vinculo""]"
65604945198,CNPJ,27315851493689,2023-10-06,,142105,2024-01,"[""data_inconsistente"", ""cbo_invalido"", ""ausencia_vinculo""]"
24455022961,CNPJ,01836675254599,2011-11-27,,252505,2024-06,"[""data_inconsistente""]"
14767976438,CNPJ,56149784036900,2014-08-02,,252210,2024-05,"[""cbo_invalido"", ""ausencia_vinculo""]"
07622683885,CNPJ,60607159696641,2019-02-01,2021-04-01,252505,2025-09,"[""cbo_invalido"", ""ausencia_vinculo"", ""competencia_ausente""]"
13696816453,CEI,21818835523124,2014-06-05,2015-09-05,241205,2024-03,[]
77997995527,CNPJ,77449058147700,2018-04-09,,142305,2024-04,"[""competencia_ausente"", ""data_inconsistente"", ""ausencia_vinculo""]"
79359782071,CEI,18203778892554,2018-09-09,,411005,2025-09,[]
51518644925,CNPJ,92546291486528,2012-02-05,,521110,2025-06,"[""cbo_invalido"", ""dados_incompletos""]"
35733221418,CAEPF,80592962229270,2019-03-20,,214505,2024-08,"[""cbo_invalido"", ""competencia_ausente"", ""dados_incompletos""]"
83473597746,CAEPF,86239240758181,2016-05-24,2017-09-24,354120,2025-04,"[""competencia_ausente""]"
13750606853,CEI,15305152204727,2020-01-23,,354805,2024-03,[]
32898614341,CNPJ,36971179808932,2016-07-14,,142410,2024-12,[]
62185188888,CNPJ,67065405153195,2012-12-28,2016-04-28,411005,2024-06,"[""competencia_ausente"", ""data_inconsistente"", ""dados_incompletos""]"
21704303054,CAEPF,68740345054156,2018-12-21,,354805,2025-01,"[""competencia_ausente""]"
75841616928,CEI,51154479627570,2017-11-28,,521110,2024-10,"[""ausencia_vinculo""]"
65820297021,CNPJ,55690927557192,2021-11-16,,411005,2024-10,[]
10278681447,CNPJ,94731217271551,2022-05-03,,354805,2024-11,"[""data_inconsistente"", ""dados_incompletos"", ""cbo_invalido""]"
83132370589,CEI,78291146786691,2012-10-23,,214630,2024-03,"[""inscricao_invalida"", ""cbo_invalido"", ""dados_incompletos""]"
89226801824,CNPJ,25358414384249,2021-12-19,2025-11-19,252505,2025-08,"[""dados_incompletos""]"
99590010943,CAEPF,69078447364710,2013-07-18,,422105,2025-04,[]
92555625881,CEI,37147321046963,2013-08-01,,354805,2025-08,"[""dados_incompletos""]"
78774701687,CNPJ,39500479748016,2013-01-02,,214505,2025-01,"[""ausencia_vinculo"", ""competencia_ausente""]"
