cpf,numero_beneficio,codigo_especie,codigo_situacao,data_inicio
22939154686,415161046065,80,ATV,2020-02-15
48703376818,686511513922,87,CES,2012-05-15
63900830177,986851279587,31,ATV,2007-05-30
39223675855,676812293743,31,ATV,2021-11-30
82077279265,906869294761,81,ATV,2019-10-23
90511265140,482421039499,81,ATV,2020-03-20
48784988118,152340929997,81,ATV,2008-01-07
38733874174,551994481020,46,CES,2009-05-28
92420712501,842693170908,32,ATV,2015-11-26
34106002566,424244676306,87,SUS,2015-04-22
6292201821,348350338427,80,SUS,2007-01-13
63362754503,784101953628,32,ATV,2016-06-26
18319389445,842566894057,88,SUS,2012-05-16
59800845682,746095542284,32,ATV,2019-10-22
83490607945,937913347896,80,ATV,2009-09-19
96017888838,813760303653,87,ATV,2021-09-12
42987476701,174548778133,87,ATV,2009-08-29
2342958803,870920387147,42,ATV,2005-02-16
49661509492,404054503101,81,ATV,2017-02-04
47060280197,736739438915,31,ATV,2013-11-23
3216863905,797550283559,42,ATV,2021-02-07
17521521234,413440791543,81,CES,2013-07-05
12101161702,977684072567,80,ATV,2005-02-21
56393690275,718076938586,81,ATV,2022-04-10
73713846448,838505719633,80,REV,2019-10-14
6574227208,610550587234,42,ATV,2010-08-07
76174681050,173374684748,81,ATV,2014-06-03
94531292677,638364847859,42,ATV,2011-01-19
52110252456,380596323071,81,ATV,2009-12-07
89722911023,984458813257,42,ATV,2008-04-03
74661718771,223768840860,31,ATV,2020-07-30
67856810300,596797118985,31,ATV,2011-07-10
65784917676,227859752579,42,ATV,2022-08-22
71266280723,364581391539,88,ATV,2009-09-22
91133256554,218791851662,32,ATV,2024-11-27
57144341294,179077628958,42,ATV,2022-04-27
43613697122,124793824854,32,SUS,2012-07-11
60124840540,272898222441,87,ATV,2023-11-25
50076621944,473158385286,46,ATV,2021-11-14
90266064949,307666694851,81,ATV,2005-06-02
31796988103,376131174288,81,CES,2020-05-05
67928428938,271550714542,80,ATV,2020-11-30
10610735721,449762181324,42,ATV,2022-03-25
12661625003,265184581895,42,CES,2015-10-13
28287111536,339046665361,46,ATV,2020-12-23
55514509966,840256523996,80,ATV,2019-08-05
37542506129,914412037422,32,ATV,2012-02-06
92710615436,980679587219,32,SUS,2019-04-15
1339359650,178081373981,81,ATV,2025-06-11
68204063393,687259367845,32,ATV,2014-06-11
84680110961,413541871621,87,ATV,2016-12-10
16536689976,175001621986,31,ATV,2006-03-13
54440895999,797916616504,87,ATV,2022-12-16
16080095211,263683814837,42,ATV,2025-08-17
72321137657,246609478230,81,SUS,2019-07-18
96414016373,837580608752,42,ATV,2022-07-08
64675655920,612016620971,46,ATV,2011-07-31
15421167917,841414261692,42,SUS,2009-05-10
6403735500,934805379743,42,CES,2006-12-19
8390590000,753694295131,42,ATV,2014-01-17
72318978786,308350021169,31,ATV,2019-10-16
83196109828,104107299515,87,ATV,2012-12-25
29280410440,936007686053,87,ATV,2025-07-07
8058489670,453513828650,31,SUS,2013-10-13
48813612010,107999207394,80,ATV,2006-08-09
55240706816,658372897911,88,ATV,2020-10-06
6240016284,242113973134,81,ATV,2015-02-07
47159138872,797659221325,32,ATV,2022-02-06
46294822459,505995198629,42,ATV,2019-10-28
91110289634,279298352416,31,ATV,2008-03-04
85930630550,151879550027,81,ATV,2024-06-11
50954830415,943749807838,88,ATV,2022-11-05
36329361703,427448278872,42,ATV,2019-06-13
81475252730,595566410651,81,ATV,2008-02-25
10251056481,855852423877,46,CES,2009-02-19
37494378235,898645036805,32,ATV,2006-10-30
91899716041,878813175535,80,ATV,2012-03-24
19340177797,572572653980,87,ATV,2020-05-04
22571521071,538776617970,32,ATV,2023-01-20
66928923504,927746051698,87,ATV,2011-03-14
33751417346,316508207403,87,REV,2010-11-28
59915403496,503074909336,31,ATV,2024-08-27
81647335710,627763171221,31,ATV,2014-02-12
62176206002,165904256693,46,ATV,2019-10-07
63790723908,284996867612,81,ATV,2018-12-27
94885986893,936143795412,80,ATV,2016-04-03
11816550485,798708190820,42,CES,2016-02-13
49485499590,192005250780,87,ATV,2010-07-06
30726040371,496228126991,42,ATV,2015-11-09
57953612674,112944629852,46,ATV,2005-02-07
50652676260,817312661045,42,ATV,2022-02-28
86846176306,562677073790,32,SUS,2017-09-06
73902703733,302286459072,42,ATV,2019-10-11
35360031689,486651441838,31,ATV,2012-02-10
40087931273,554609145204,87,ATV,2012-03-24
70232035326,183019764471,87,CES,2014-03-10
55658217466,837151839241,32,ATV,2022-11-15
82718637978,761718352837,80,ATV,2012-01-14
60996057110,736390166254,31,REV,2021-01-12
11275244297,867137700613,80,REV,2014-08-27
90985445688,212854446916,31,ATV,2009-05-30
18059560603,334932544742,42,ATV,2013-04-03
53719290611,245760893541,31,ATV,2022-10-22
93842455348,417725064854,32,ATV,2020-04-23
15543328184,328222586683,46,ATV,2019-01-25
61263678980,961876021530,32,SUS,2018-05-08
22413002847,814858392659,87,ATV,2015-03-26
83898619419,889145124684,81,ATV,2023-02-09
77403683935,156589350381,81,ATV,2011-02-21
114496161,470383320139,46,ATV,2014-04-19
83482241813,617411259578,88,ATV,2011-01-14
77297132098,115629953393,81,ATV,2023-02-24
76338997437,539291684051,31,SUS,2012-07-11
16029180827,220572614735,42,ATV,2019-02-04
7921839916,720667916096,42,SUS,2006-12-20
87693612238,768994704477,80,ATV,2010-02-09
635887576,888241598603,46,REV,2016-10-25
30789464608,865889206605,31,ATV,2024-03-01
2247866280,989030506193,46,ATV,2011-07-21
21722737085,662762909167,46,ATV,2007-12-12
3518636480,464109627502,88,SUS,2019-05-19
12070905497,731199586982,88,ATV,2021-12-30
43159881202,267728906572,88,ATV,2010-07-26
1177907887,262039492093,42,ATV,2015-02-01
49011187652,144088879962,32,ATV,2017-06-22
75836273030,425636256310,32,CES,2010-01-26
33863514092,191147601871,80,ATV,2023-03-13
58691192437,751504846920,88,ATV,2020-01-15
65495729757,220833842060,46,ATV,2009-04-07
48816414413,120520480810,81,ATV,2007-03-05
47052961849,122533641864,81,ATV,2015-02-19
22390603874,156010233388,87,ATV,2005-07-31
62816345602,483959576481,46,ATV,2012-02-23
7306170252,596500355706,81,ATV,2006-09-30
2642306801,142704453635,80,ATV,2021-07-29
80340464429,324414947119,81,ATV,2015-12-12
26991685216,138994236375,32,REV,2020-06-19
89661728577,318265191093,87,ATV,2018-07-10
44212331616,649995346180,46,ATV,2006-08-31
70475950585,494513656424,42,ATV,2013-08-24
22422864473,624481832973,46,ATV,2009-11-28
42446799361,573025513749,80,CES,2019-08-09
68196231270,826399183324,46,ATV,2005-09-26
27862519159,535316580897,42,SUS,2008-05-05
68463299350,679582914131,87,ATV,2018-06-03
39928847754,222451935895,46,ATV,2011-02-15
30850443539,269374568327,81,ATV,2015-09-27
18044335005,717013462170,46,CES,2009-01-25
72872812792,473645941530,32,ATV,2015-10-30
31062526260,476543428317,31,ATV,2011-04-19
64650288835,376522234400,80,ATV,2014-03-12
86032805417,848092722785,87,ATV,2005-12-19
23485202738,207058540890,32,REV,2024-02-21
86405390306,666020096270,31,ATV,2017-07-27
21789467047,355203026058,42,ATV,2017-09-24
17771006400,528836200876,80,ATV,2005-01-30
98562802301,704663051668,32,ATV,2013-12-29
46677038300,173534243736,31,ATV,2011-06-20
94151563920,225486419991,42,ATV,2013-03-29
98400760352,933881484321,32,ATV,2022-12-23
86715514666,306163718047,81,ATV,2009-03-10
37011260030,699320556959,31,ATV,2023-11-17
26219759923,913064128730,32,ATV,2025-07-03
6996405041,225111780759,88,ATV,2013-06-13
38337522704,836446413415,46,ATV,2019-02-11
16229738953,452529942100,87,ATV,2013-09-19
26219284631,897001799693,42,ATV,2016-03-07
38346044968,845998862670,46,ATV,2017-08-04
78331959442,761159922125,81,ATV,2017-09-07
48059793560,474495600595,42,ATV,2015-01-25
50370914465,193670181472,32,ATV,2014-06-21
43172604683,936600569525,88,ATV,2022-09-22
67757503400,717770035185,32,ATV,2010-03-27
7010814490,150047840377,87,ATV,2023-09-05
79172551828,450048336218,42,REV,2012-01-03
93550112106,885887049556,81,SUS,2005-06-10
56423738467,295973305717,81,CES,2024-06-22
8982265465,115160653623,42,ATV,2022-06-10
25419821001,662154169558,42,ATV,2023-05-29
1045722480,261933523187,31,CES,2020-07-09
28924979817,793802799210,31,ATV,2012-09-15
87913427671,136831056416,42,CES,2021-07-26
22433281431,912766095869,87,ATV,2018-02-01
73675203182,148989491195,87,ATV,2005-10-15
29237847904,717403409708,32,ATV,2022-10-29
98453356084,533288279037,81,SUS,2011-09-21
