cpf_number,product_code,product_description
52601815908,LOANS,Empréstimos e financiamentos
52601815908,ACCOUNTS,Contas transacionais
61318609139,CARDS,Cartões de crédito
61318609139,ACCOUNTS,Contas transacionais
60308246281,CARDS,Cartões de crédito
21993518190,CARDS,Cartões de crédito
21993518190,LOANS,Empréstimos e financiamentos
21993518190,ACCOUNTS,Contas transacionais
86579754323,LOANS,Empréstimos e financiamentos
86579754323,ACCOUNTS,Contas transacionais
86579754323,CARDS,Cartões de crédito
75749118625,LOANS,Empréstimos e financiamentos
75749118625,CARDS,Cartões de crédito
75749118625,ACCOUNTS,Contas transacionais
01895559797,CARDS,Cartões de crédito
01895559797,ACCOUNTS,Contas transacionais
71049746507,LOANS,Empréstimos e financiamentos
71049746507,CARDS,Cartões de crédito
70342366712,ACCOUNTS,Contas transacionais
26846563212,ACCOUNTS,Contas transacionais
