cpf_number,civil_name,social_name,birth_date,start_date
52601815908,Ana Almeida,,1978-11-09,2020-11-11
61318609139,Bruno Barbosa,Bruno Barbosa,2000-11-20,2022-07-26
60308246281,Carla Carvalho,,2000-02-18,2023-08-25
21993518190,Daniel Dias,,1997-04-08,2023-08-18
86579754323,Eduarda Esteves,,1988-06-20,2021-11-21
75749118625,Felipe Ferraz,,1996-12-07,2020-09-23
01895559797,Gabriela Gomes,,1979-03-14,2019-01-10
71049746507,Henrique Hernandes,,2002-05-28,2017-04-24
70342366712,Isabela Ibrahim,,1999-08-25,2019-02-12
26846563212,João Junqueira,,1985-06-19,2016-02-19
