cpf;numero_beneficio;codigo_especie;codigo_situacao;data_inicio
114496161;4,70383E+11;46;ATV;19/04/2014
198986734;2,18116E+11;81;ATV;16/08/2020
289065518;8,30549E+11;32;ATV;20/12/2009
628987102;8,09998E+11;31;REV;29/07/2023
635887576;8,88242E+11;46;REV;25/10/2016
667656332;6,98383E+11;42;ATV;25/03/2014
819822671;3,13512E+11;31;ATV;19/02/2010
874899702;9,60563E+11;46;ATV;06/08/2013
1027358322;8,90739E+11;81;ATV;11/08/2023
1045722480;2,61934E+11;31;CES;09/07/2020
1177907887;2,62039E+11;42;ATV;01/02/2015
1277496919;1,19459E+11;46;ATV;12/06/2009
1329539788;1,71278E+11;42;SUS;10/09/2008
1339359650;1,78081E+11;81;ATV;11/06/2025
1487390912;9,62395E+11;46;ATV;22/06/2007
1525712721;5,393E+11;46;ATV;31/07/2015
1567073816;6,67514E+11;88;REV;24/09/2008
1686259034;5,75547E+11;88;SUS;01/10/2012
2067626825;6,71443E+11;81;ATV;04/07/2015
2076151109;2,18833E+11;42;ATV;22/10/2009
